epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.059,1.86548,1.98156,1.79343,0.12679,0.29802,0.06723,0.02914,2.04779,6.75536,2.0882,0.00332572,0.00332572,0.0700685
2,435.582,1.7587,1.6964,1.69795,0.75898,0.30979,0.3454,0.16712,1.82498,1.87769,1.86504,0.00660835,0.00660835,0.0400178
3,650.496,1.67671,1.5159,1.64718,0.86287,0.42466,0.48325,0.20767,1.89736,1.33097,1.94923,0.0098402,0.0098402,0.0099163
4,865.305,1.62588,1.39082,1.60189,0.86735,0.49581,0.53347,0.26119,1.74933,1.48583,1.79347,0.00977154,0.00977154,0.00977154
5,1079.99,1.60585,1.32931,1.58545,0.87877,0.46615,0.53278,0.27791,1.6575,1.24244,1.72193,0.00969538,0.00969538,0.00969538
6,1294.87,1.57776,1.26356,1.56047,0.89567,0.48025,0.54282,0.24258,1.87415,1.17947,1.91023,0.00961923,0.00961923,0.00961923
7,1509.34,1.57284,1.23716,1.56344,0.90591,0.52199,0.57327,0.26832,1.83344,1.06221,1.86188,0.00954308,0.00954308,0.00954308
8,1723.94,1.54074,1.18403,1.52941,0.89819,0.5011,0.56285,0.28374,1.73226,1.07484,1.77069,0.00946692,0.00946692,0.00946692
9,1938.84,1.53197,1.19894,1.53586,0.92588,0.51359,0.57808,0.32345,1.56091,0.9631,1.64098,0.00939077,0.00939077,0.00939077
10,2153.71,1.49697,1.14922,1.52841,0.90884,0.49777,0.55975,0.30276,1.6117,1.18002,1.69711,0.00931462,0.00931462,0.00931462
11,2368.38,1.47001,1.096,1.49975,0.92647,0.51961,0.57617,0.30775,1.6487,1.00432,1.71113,0.00923846,0.00923846,0.00923846
12,2582.81,1.47092,1.112,1.48676,0.92011,0.52349,0.58814,0.3445,1.48258,0.8769,1.57913,0.00916231,0.00916231,0.00916231
13,2797.56,1.4516,1.05906,1.48393,0.89498,0.53022,0.58035,0.35087,1.43369,0.91808,1.56336,0.00908615,0.00908615,0.00908615
14,3012.36,1.44832,1.05514,1.4831,0.92434,0.53247,0.5932,0.34155,1.50343,0.92713,1.6072,0.00901,0.00901,0.00901
15,3226.88,1.43579,1.03486,1.47325,0.92167,0.54296,0.59567,0.36078,1.41831,0.8407,1.54068,0.00893385,0.00893385,0.00893385
16,3441.47,1.45522,1.02117,1.47541,0.91452,0.54922,0.6027,0.36493,1.42375,0.82182,1.52626,0.00885769,0.00885769,0.00885769
17,3656.22,1.40669,1.00235,1.45089,0.92064,0.54362,0.59891,0.3569,1.4131,0.84223,1.52971,0.00878154,0.00878154,0.00878154
18,3870.68,1.39336,0.97041,1.43521,0.92938,0.54892,0.60226,0.35582,1.47612,0.80931,1.5748,0.00870538,0.00870538,0.00870538
19,4085.2,1.40152,0.99494,1.44586,0.92317,0.54981,0.60203,0.3485,1.48956,0.84407,1.58217,0.00862923,0.00862923,0.00862923
20,4299.62,1.3825,0.96003,1.42629,0.92854,0.56095,0.61134,0.36792,1.41239,0.75309,1.52256,0.00855308,0.00855308,0.00855308
21,4514.24,1.37785,0.93459,1.42296,0.94177,0.55329,0.61116,0.37621,1.39562,0.78107,1.50916,0.00847692,0.00847692,0.00847692
22,4728.84,1.36577,0.92645,1.4198,0.92723,0.56777,0.61561,0.37593,1.40594,0.75834,1.51797,0.00840077,0.00840077,0.00840077
23,4943.3,1.37092,0.9295,1.43018,0.92709,0.5709,0.61437,0.3755,1.40588,0.75528,1.51408,0.00832462,0.00832462,0.00832462
24,5157.82,1.38535,0.94107,1.4352,0.94073,0.55069,0.61238,0.36805,1.43172,0.77098,1.53319,0.00824846,0.00824846,0.00824846
